,actor,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit
173,Adam Brody,15,414750000.0,27650000.0,1386011050,92400736.66666667,1386011050,92400736.66666667,243740621.0,16249374.733333332,971261050.0,64750736.666666664
175,Adam Brown,4,898000000.0,224500000.0,3788733757,947183439.25,3788733757,947183439.25,151069194.0,37767298.5,2890733757.0,722683439.25
178,Adam Campbell,3,70000000.0,23333333.333333332,227156555,75718851.66666667,227156555,75718851.66666667,47123321.0,15707773.666666666,157156555.0,52385518.333333336
185,Adam Devine,7,255000000.0,36428571.428571425,1140839472,162977067.42857143,1140839472,162977067.42857143,235472022.0,33638860.28571428,885839472.0,126548496.0
189,Adam Driver,13,1020671700.0,78513207.6923077,4763175634,366398125.6923077,4763175634,366398125.6923077,1200400050.0,92338465.38461539,3742503934.0,287884918.0
195,Adam Garcia,3,108000000.0,36000000.0,182911672,60970557.333333336,182911672,60970557.333333336,12282873.0,4094291.0,74911672.0,24970557.333333332
198,Adam Godley,6,739000000.0,123166666.66666667,1141029404,190171567.33333334,1141029404,190171567.33333334,-349994375.0,-58332395.833333336,402029404.0,67004900.666666664
199,Adam Goldberg,5,208000000.0,41600000.0,703223087,140644617.4,703223087,140644617.4,156445364.0,31289072.8,495223087.0,99044617.4
219,Adam LeFevre,10,370200000.0,37020000.0,477637157,47763715.7,477637157,47763715.7,-128430845.0,-12843084.5,107437157.0,10743715.7
227,Adam Pally,3,111500000.0,37166666.666666664,404749094,134916364.66666666,404749094,134916364.66666666,73651252.0,24550417.333333332,293249094.0,97749698.0
234,Adam Rodriguez,3,31000000.0,10333333.333333334,171678373,57226124.333333336,171678373,57226124.333333336,83677144.0,27892381.333333332,140678373.0,46892791.0
237,Adam Sandler,26,1735500000.0,66750000.0,4585237942,176355305.46153846,4585237942,176355305.46153846,639224423.0,24585554.730769232,2849737942.0,109605305.46153846
238,Adam Scarimbolo,3,6144314.910765688,2048104.9702552294,1133271,377757.0,1133271,377757.0,-5633547.910765688,-1877849.3035885626,-5011043.910765688,-1670347.9702552294
240,Adam Scott,15,520500000.0,34700000.0,1119805484,74653698.93333334,1119805484,74653698.93333334,86688752.0,5779250.133333334,599305484.0,39953698.93333333
241,Adam Sevani,3,92500000.0,30833333.333333332,396445837,132148612.33333333,396445837,132148612.33333333,22822390.0,7607463.333333333,303945837.0,101315279.0
246,Adam Tomei,3,101000000.0,33666666.666666664,251180295,83726765.0,251180295,83726765.0,34883045.0,11627681.666666666,150180295.0,50060098.333333336
254,Addison Timlin,3,45000000.0,15000000.0,108191873,36063957.666666664,108191873,36063957.666666664,20403062.0,6801020.666666667,63191873.0,21063957.666666668
257,Adeel Akhtar,5,263000000.0,52600000.0,458412917,91682583.4,458412917,91682583.4,-79612430.0,-15922486.0,195412917.0,39082583.4
258,Adel Bencherif,5,96440400.0,19288080.0,279702888,55940577.6,279702888,55940577.6,-27071427.0,-5414285.4,183262488.0,36652497.6
261,Adelaide Clemens,3,127900000.0,42633333.333333336,410053304,136684434.66666666,410053304,136684434.66666666,34544494.0,11514831.333333334,282153304.0,94051101.33333333
271,Adewale Akinnuoye-Agbaje,11,826000000.0,75090909.0909091,1950233174,177293924.9090909,1950233174,177293924.9090909,57718632.0,5247148.363636363,1124233174.0,102203015.81818181
272,Adhir Kalyan,3,64000000.0,21333333.333333332,221598624,73866208.0,221598624,73866208.0,114848755.0,38282918.333333336,157598624.0,52532874.666666664
280,Aditya Pancholi,3,34305512.6346067,11435170.878202232,18164213,6054737.666666667,18164213,6054737.666666667,-24649566.634606697,-8216522.211535566,-16141299.634606697,-5380433.211535566
287,Adoni Maropis,3,345000000.0,115000000.0,671651256,223883752.0,671651256,223883752.0,-114158133.0,-38052711.0,326651256.0,108883752.0
289,Adria Arjona,3,185000000.0,61666666.666666664,367874689,122624896.33333333,367874689,122624896.33333333,-61898744.0,-20632914.666666668,182874689.0,60958229.666666664
297,Adrian Grenier,4,145000000.0,36250000.0,410217894,102554473.5,410217894,102554473.5,32466151.0,8116537.75,265217894.0,66304473.5
299,Adrian Holmes,3,282000000.0,94000000.0,682259460,227419820.0,682259460,227419820.0,-82867601.0,-27622533.666666668,400259460.0,133419820.0
304,Adrian Martinez,9,221400000.0,24600000.0,537849945,59761105.0,537849945,59761105.0,-14396867.0,-1599651.888888889,316449945.0,35161105.0
310,Adrian Rawlins,6,362101000.0,60350166.666666664,1975461762,329243627.0,1975461762,329243627.0,279275550.0,46545925.0,1613360762.0,268893460.3333333
314,Adrian Scarborough,4,103624504.994385,25906126.24859625,651793664,162948416.0,651793664,162948416.0,140869928.005615,35217482.00140375,548169159.005615,137042289.75140375
315,Adrian Schiller,4,97000000.0,24250000.0,170730835,42682708.75,170730835,42682708.75,-13543778.0,-3385944.5,73730835.0,18432708.75
320,Adriana Barraza,7,314000000.0,44857142.85714286,802656592,114665227.42857143,802656592,114665227.42857143,34016509.0,4859501.285714285,488656592.0,69808084.57142857
328,Adriane Lenox,5,129541400.0,25908280.0,721583324,144316664.8,721583324,144316664.8,354061818.0,70812363.6,592041924.0,118408384.8
330,Adrianne Palicki,4,241000000.0,60250000.0,580691370,145172842.5,580691370,145172842.5,9535758.0,2383939.5,339691370.0,84922842.5
333,Adrien Brody,13,595000000.0,45769230.76923077,1479921990,113840153.07692307,1479921990,113840153.07692307,-56382195.0,-4337091.923076923,884921990.0,68070922.3076923
354,Affion Crockett,7,167500000.0,23928571.42857143,505487074,72212439.14285715,505487074,72212439.14285715,95278982.0,13611283.142857144,337987074.0,48283867.71428572
364,Agnes Bruckner,4,105000000.0,26250000.0,91367919,22841979.75,91367919,22841979.75,-47416731.0,-11854182.75,-13632081.0,-3408020.25
384,Ahna O'Reilly,5,79900000.0,15980000.0,286948260,57389652.0,286948260,57389652.0,132310164.0,26462032.8,207048260.0,41409652.0
391,Aidan Devine,3,132000000.0,44000000.0,168439855,56146618.333333336,168439855,56146618.333333336,-45327722.0,-15109240.666666666,36439855.0,12146618.333333334
395,Aidan Gillen,7,672000000.0,96000000.0,2842768151,406109735.85714287,2842768151,406109735.85714287,244423408.0,34917629.71428572,2170768151.0,310109735.85714287
396,Aidan McArdle,3,73715408.71209882,24571802.904032942,73068323,24356107.666666668,73068323,24356107.666666668,-35758040.71209882,-11919346.90403294,-647085.712098822,-215695.237366274
399,Aidan Quinn,3,55101000.0,18367000.0,164728765,54909588.333333336,164728765,54909588.333333336,18033796.0,6011265.333333333,109627765.0,36542588.333333336
401,Aidan Turner,5,720550500.0,144110100.0,3068974449,613794889.8,3068974449,613794889.8,133840250.0,26768050.0,2348423949.0,469684789.8
407,Aiden Lovekamp,3,34000000.0,11333333.333333334,227284300,75761433.33333333,227284300,75761433.33333333,40621757.0,13540585.666666666,193284300.0,64428100.0
416,Aimee Garcia,4,186000000.0,46500000.0,563729406,140932351.5,563729406,140932351.5,5475352.0,1368838.0,377729406.0,94432351.5
420,Aimee Teegarden,3,73000000.0,24333333.333333332,191014556,63671518.666666664,191014556,63671518.666666664,3104165.0,1034721.6666666666,118014556.0,39338185.333333336
424,Aisha Hinds,6,268000000.0,44666666.666666664,630680563,105113427.16666667,630680563,105113427.16666667,-22667448.0,-3777908.0,362680563.0,60446760.5
427,Aisha Tyler,3,97000000.0,32333333.333333332,300597646,100199215.33333333,300597646,100199215.33333333,136270707.0,45423569.0,203597646.0,67865882.0
428,Aishwarya Rai Bachchan,8,134472199.11094207,16809024.88886776,219192565,27399070.625,219192565,27399070.625,-74014449.11094207,-9251806.138867758,84720365.88905793,10590045.736132242
441,Ajay Naidu,5,143000000.0,28600000.0,327606464,65521292.8,327606464,65521292.8,69767022.0,13953404.4,184606464.0,36921292.8
446,Akash Khurana,3,16797213.968193598,5599071.3227312,23067909,7689303.0,23067909,7689303.0,-12379609.968193598,-4126536.6560645327,6270695.031806402,2090231.6772688006
463,Akio Ôtsuka,3,42889028.630613305,14296342.876871102,246947558,82315852.66666667,246947558,82315852.66666667,-35386122.630613305,-11795374.210204436,204058529.3693867,68019509.78979556
473,Aksel Hennie,3,211463704.04695708,70487901.34898569,893944196,297981398.6666667,893944196,297981398.6666667,90858582.95304292,30286194.317680974,682480491.953043,227493497.31768098
474,Akshay Kumar,8,107764104.23536122,13470513.029420152,125388570,15673571.25,125388570,15673571.25,-95407638.23536122,-11925954.779420152,17624465.76463878,2203058.2205798477
486,Al Pacino,13,563000000.0,43307692.307692304,1236943454,95149496.46153846,1236943454,95149496.46153846,-15870327.0,-1220794.3846153845,673943454.0,51841804.15384615
491,Al Sapienza,3,99300000.0,33100000.0,479486375,159828791.66666666,479486375,159828791.66666666,7699221.0,2566407.0,380186375.0,126728791.66666667
503,Alain Chabat,5,449291900.0,89858380.0,1541776681,308355336.2,1541776681,308355336.2,-64563017.0,-12912603.4,1092484781.0,218496956.2
516,Alan Alda,6,342000000.0,57000000.0,972429046,162071507.66666666,972429046,162071507.66666666,134401051.0,22400175.166666668,630429046.0,105071507.66666667
517,Alan Arkin,18,721000000.0,40055555.55555555,1995424213,110856900.72222222,1995424213,110856900.72222222,377824013.0,20990222.944444444,1274424213.0,70801345.16666667
525,Alan Cumming,9,532600000.0,59177777.777777776,937216298,104135144.22222222,937216298,104135144.22222222,14519199.0,1613244.3333333333,404616298.0,44957366.44444445
527,Alan Dale,4,335000000.0,83750000.0,985563321,246390830.25,985563321,246390830.25,86855932.0,21713983.0,650563321.0,162640830.25
532,Alan Ford,4,98575900.80016546,24643975.200041365,220543777,55135944.25,220543777,55135944.25,-25454915.80016546,-6363728.950041365,121967876.19983454,30491969.049958635
547,Alan Rickman,8,1000168174.5788758,125021021.82235947,4737848193,592231024.125,4737848193,592231024.125,448130109.4211242,56016263.67764053,3737680018.4211245,467210002.30264056
548,Alan Ritchson,3,283000000.0,94333333.33333333,810428482,270142827.3333333,810428482,270142827.3333333,54716566.0,18238855.333333332,527428482.0,175809494.0
550,Alan Ruck,4,122000000.0,30500000.0,203168610,50792152.5,203168610,50792152.5,-24665773.0,-6166443.25,81168610.0,20292152.5
552,Alan Tudyk,24,2221000000.0,92541666.66666667,10253736565,427239023.5416667,10253736565,427239023.5416667,1809592407.0,75399683.625,8032736565.0,334697356.875
553,Alan Van Sprang,3,85500000.0,28500000.0,239923842,79974614.0,239923842,79974614.0,8571416.0,2857138.6666666665,154423842.0,51474614.0
557,Alanna Ubach,6,323500000.0,53916666.666666664,1675228401,279204733.5,1675228401,279204733.5,408360403.0,68060067.16666667,1351728401.0,225288066.83333334
565,Albert Brooks,9,635200000.0,70577777.77777778,3642863589,404762621.0,3642863589,404762621.0,880603912.0,97844879.1111111,3007663589.0,334184843.2222222
570,Albert Finney,7,525000000.0,75000000.0,2117549983,302507140.4285714,2117549983,302507140.4285714,267138883.0,38162697.571428575,1592549983.0,227507140.42857143
576,Alberta Watson,4,47195451.92861255,11798862.982153138,55876430,13969107.5,55876430,13969107.5,-6779536.928612553,-1694884.2321531381,8680978.071387447,2170244.517846862
588,Alden Ehrenreich,5,374000000.0,74800000.0,531576516,106315303.2,531576516,106315303.2,-108049522.0,-21609904.4,157576516.0,31515303.2
589,Aldis Hodge,7,156500000.0,22357142.85714286,805710339,115101477.0,805710339,115101477.0,354961659.0,50708808.428571425,649210339.0,92744334.14285715
595,Alec Baldwin,31,2099571700.0,67728119.35483871,6108473915,197047545.6451613,6108473915,197047545.6451613,397596421.0,12825691.0,4008902215.0,129319426.29032259
599,Alec Rayme,3,124000000.0,41333333.333333336,363740584,121246861.33333333,363740584,121246861.33333333,5536051.0,1845350.3333333333,239740584.0,79913528.0
602,Alec Utgoff,4,380000000.0,95000000.0,1339486911,334871727.75,1339486911,334871727.75,28506755.0,7126688.75,959486911.0,239871727.75
660,Alessandro Nivola,8,195000000.0,24375000.0,775654056,96956757.0,775654056,96956757.0,184508008.0,23063501.0,580654056.0,72581757.0
674,Alex Borstein,11,504000000.0,45818181.81818182,790943119,71903919.9090909,790943119,71903919.9090909,-55611441.0,-5055585.545454546,286943119.0,26085738.09090909
694,Alex Ferris,4,134000000.0,33500000.0,291879236,72969809.0,291879236,72969809.0,85723405.0,21430851.25,157879236.0,39469809.0
707,Alex Jennings,4,63860074.472486556,15965018.618121639,202648987,50662246.75,202648987,50662246.75,24982466.527513444,6245616.631878361,138788912.52751344,34697228.13187836
713,Alex Kendrick,4,10100000.0,2525000.0,129287093,32321773.25,129287093,32321773.25,112820376.0,28205094.0,119187093.0,29796773.25
725,Alex Manette,3,38500000.0,12833333.333333334,31423616,10474538.666666666,31423616,10474538.666666666,-31338513.0,-10446171.0,-7076384.0,-2358794.6666666665
733,Alex O'Loughlin,4,130000000.0,32500000.0,188385814,47096453.5,188385814,47096453.5,-29991284.0,-7497821.0,58385814.0,14596453.5
737,Alex Pettyfer,6,174000000.0,29000000.0,596789926,99464987.66666667,596789926,99464987.66666667,163435570.0,27239261.666666668,422789926.0,70464987.66666667
741,Alex Rocco,3,65000000.0,21666666.666666668,154598045,51532681.666666664,154598045,51532681.666666664,32362185.0,10787395.0,89598045.0,29866015.0
744,Alex Russell,3,115000000.0,38333333.333333336,314446716,104815572.0,314446716,104815572.0,83557053.0,27852351.0,199446716.0,66482238.666666664
750,Alex Veadov,3,88000000.0,29333333.333333332,329863904,109954634.66666667,329863904,109954634.66666667,112106764.0,37368921.333333336,241863904.0,80621301.33333333
751,Alex Wolff,6,290000000.0,48333333.333333336,2025952142,337658690.3333333,2025952142,337658690.3333333,566574699.0,94429116.5,1735952142.0,289325357.0
753,Alexa Davalos,4,280000000.0,70000000.0,717848498,179462124.5,717848498,179462124.5,-4784330.0,-1196082.5,437848498.0,109462124.5
761,Alexa PenaVega,7,176500000.0,25214285.714285713,578151494,82593070.57142857,578151494,82593070.57142857,189956901.0,27136700.14285714,401651494.0,57378784.85714286
777,Alexander Flores,3,101000000.0,33666666.666666664,663791386,221263795.33333334,663791386,221263795.33333334,85202170.0,28400723.333333332,562791386.0,187597128.66666666
778,Alexander Gould,3,161000000.0,53666666.666666664,1026662281,342220760.3333333,1026662281,342220760.3333333,291044863.0,97014954.33333333,865662281.0,288554093.6666667
785,Alexander Ludwig,6,335000000.0,55833333.333333336,994783559,165797259.83333334,994783559,165797259.83333334,234276990.0,39046165.0,659783559.0,109963926.5
796,Alexander Siddig,4,258000000.0,64500000.0,375515605,93878901.25,375515605,93878901.25,-133066354.0,-33266588.5,117515605.0,29378901.25
797,Alexander Skarsgård,11,538900000.0,48990909.09090909,880375986,80034180.54545455,880375986,80034180.54545455,-206617918.0,-18783447.09090909,341475986.0,31043271.454545453
804,Alexandra Daddario,6,420000000.0,70000000.0,1211692930,201948821.66666666,1211692930,201948821.66666666,29981554.0,4996925.666666667,791692930.0,131948821.66666667
812,Alexandra Maria Lara,6,205183800.0,34197300.0,448486365,74747727.5,448486365,74747727.5,-137434057.0,-22905676.166666668,243302565.0,40550427.5
816,Alexandra Roach,3,187000000.0,62333333.333333336,313021007,104340335.66666667,313021007,104340335.66666667,-91801028.0,-30600342.666666668,126021007.0,42007002.333333336
817,Alexandra Shipp,7,481000000.0,68714285.71428572,1175738532,167962647.42857143,1175738532,167962647.42857143,12223309.0,1746187.0,694738532.0,99248361.71428572
841,Alexis Bledel,9,162900000.0,18100000.0,311554609,34617178.777777776,311554609,34617178.777777776,38056842.0,4228538.0,148654609.0,16517178.777777778
847,Alexis Dziena,5,150000000.0,30000000.0,237637453,47527490.6,237637453,47527490.6,-795561.0,-159112.2,87637453.0,17527490.6
853,Alexis Knapp,3,58000000.0,19333333.333333332,505226370,168408790.0,505226370,168408790.0,246029188.0,82009729.33333333,447226370.0,149075456.66666666
861,Alfie Allen,4,152000000.0,38000000.0,467975494,116993873.5,467975494,116993873.5,26360516.0,6590129.0,315975494.0,78993873.5
866,Alfre Woodard,10,620000000.0,62000000.0,2655067851,265506785.1,2655067851,265506785.1,417906570.0,41790657.0,2035067851.0,203506785.1
870,Alfred Molina,18,1607000000.0,89277777.77777778,5579845819,309991434.3888889,5579845819,309991434.3888889,463842968.0,25769053.777777776,3972845819.0,220713656.6111111
888,Ali Hillis,3,60000000.0,20000000.0,228982119,76327373.0,228982119,76327373.0,85972935.0,28657645.0,168982119.0,56327373.0
890,Ali Larter,10,319000000.0,31900000.0,1269968785,126996878.5,1269968785,126996878.5,148955648.0,14895564.8,950968785.0,95096878.5
898,Ali Suliman,4,182000000.0,45500000.0,361302869,90325717.25,361302869,90325717.25,31484888.0,7871222.0,179302869.0,44825717.25
899,Ali Wong,3,329500000.0,109833333.33333333,854263978,284754659.3333333,854263978,284754659.3333333,15031727.0,5010575.666666667,524763978.0,174921326.0
905,Alia Shawkat,10,92900000.0,9290000.0,71376067,7137606.7,71376067,7137606.7,-37600668.0,-3760066.8,-21523933.0,-2152393.3
908,Alice Braga,10,445691076.98692673,44569107.69869267,1257345250,125734525.0,1257345250,125734525.0,71091974.01307327,7109197.401307327,811654173.0130732,81165417.30130732
911,Alice Drummond,4,59800000.0,14950000.0,93759785,23439946.25,93759785,23439946.25,-6085806.0,-1521451.5,33959785.0,8489946.25
914,Alice Eve,9,547780631.2429812,60864514.58255347,1223721202,135969022.44444445,1223721202,135969022.44444445,-72747436.2429812,-8083048.471442355,675940570.7570188,75104507.86189097
916,Alice Greczyn,3,95000000.0,31666666.666666668,178376773,59458924.333333336,178376773,59458924.333333336,41789034.0,13929678.0,83376773.0,27792257.666666668
919,Alice Krige,6,453000000.0,75500000.0,1067309660,177884943.33333334,1067309660,177884943.33333334,-77906036.0,-12984339.333333334,614309660.0,102384943.33333333
930,Alicia Borrachero,3,500000000.0,166666666.66666666,693233536,231077845.33333334,693233536,231077845.33333334,-287901145.0,-95967048.33333333,193233536.0,64411178.666666664
938,Alicia Silverstone,3,130000000.0,43333333.333333336,309592891,103197630.33333333,309592891,103197630.33333333,23460775.0,7820258.333333333,179592891.0,59864297.0
940,Alicia Vela-Bailey,3,22900000.0,7633333.333333333,544713346,181571115.33333334,544713346,181571115.33333334,210934151.0,70311383.66666667,521813346.0,173937782.0
941,Alicia Vikander,10,507000000.0,50700000.0,1093265853,109326585.3,1093265853,109326585.3,-155180869.0,-15518086.9,586265853.0,58626585.3
942,Alicia Witt,5,157000000.0,31400000.0,305282583,61056516.6,305282583,61056516.6,12014918.0,2402983.6,148282583.0,29656516.6
944,Alicja Bachleda,3,26997270.0,8999090.0,5349382,1783127.3333333333,5349382,1783127.3333333333,-26137287.0,-8712429.0,-21647888.0,-7215962.666666667
960,Alison Brie,9,378100000.0,42011111.11111111,1451759190,161306576.66666666,1451759190,161306576.66666666,300561439.0,33395715.444444444,1073659190.0,119295465.55555555
971,Alison Lohman,6,253000000.0,42166666.666666664,332534215,55422369.166666664,332534215,55422369.166666664,-82488858.0,-13748143.0,79534215.0,13255702.5
973,Alison Pill,11,290371700.0,26397427.272727273,670862960,60987541.81818182,670862960,60987541.81818182,12398103.0,1127100.2727272727,380491260.0,34590114.54545455
984,Alistair Petrie,4,275715408.71209884,68928852.17802471,1261212534,315303133.5,1261212534,315303133.5,327319177.28790116,81829794.32197529,985497125.2879012,246374281.3219753
996,Allan Corduner,10,296000000.0,29600000.0,322140775,32214077.5,322140775,32214077.5,-106578497.0,-10657849.7,26140775.0,2614077.5
1011,Allen Covert,10,655000000.0,65500000.0,1578770110,157877011.0,1578770110,157877011.0,327571381.0,32757138.1,923770110.0,92377011.0
1014,Allen Leech,4,82936757.4915775,20734189.372894377,1342443037,335610759.25,1342443037,335610759.25,321737752.5084225,80434438.12710562,1259506279.5084224,314876569.8771056
1026,Allison Janney,22,904000000.0,41090909.09090909,4676364471,212562021.4090909,4676364471,212562021.4090909,1175509663.0,53432257.40909091,3772364471.0,171471112.3181818
1031,Allison Miller,3,57000000.0,19000000.0,179112970,59704323.333333336,179112970,59704323.333333336,23245942.0,7748647.333333333,122112970.0,40704323.333333336
1035,Allison Tolman,4,98000000.0,24500000.0,167856788,41964197.0,167856788,41964197.0,17240300.0,4310075.0,69856788.0,17464197.0
1049,Alon Aboutboul,3,380000000.0,126666666.66666667,1402788535,467596178.3333333,1402788535,467596178.3333333,170058025.0,56686008.333333336,1022788535.0,340929511.6666667
1058,Alun Armstrong,4,423000000.0,105750000.0,1056625059,264156264.75,1056625059,264156264.75,6825963.0,1706490.75,633625059.0,158406264.75
1065,Aly Michalka,3,44000000.0,14666666.666666666,127743891,42581297.0,127743891,42581297.0,56912452.0,18970817.333333332,83743891.0,27914630.333333332
1069,Alyson Hannigan,5,190000000.0,38000000.0,866865763,173373152.6,866865763,173373152.6,187028308.0,37405661.6,676865763.0,135373152.6
1072,Alyson Stoner,4,142000000.0,35500000.0,594182749,148545687.25,594182749,148545687.25,186914061.0,46728515.25,452182749.0,113045687.25
1080,Alyssa Milano,3,81000000.0,27000000.0,169048849,56349616.333333336,169048849,56349616.333333336,-3606845.0,-1202281.6666666667,88048849.0,29349616.333333332
1082,Alyvia Alyn Lind,3,55500000.0,18500000.0,247097626,82365875.33333333,247097626,82365875.33333333,58529400.0,19509800.0,191597626.0,63865875.333333336
1097,Amanda Brooks,3,52250000.0,17416666.666666668,117003689,39001229.666666664,117003689,39001229.666666664,-21996204.0,-7332068.0,64753689.0,21584563.0
1100,Amanda Bynes,7,234500000.0,33500000.0,715607523,102229646.14285715,715607523,102229646.14285715,201072853.0,28724693.285714287,481107523.0,68729646.14285715
1106,Amanda Crew,8,183000000.0,22875000.0,416385450,52048181.25,416385450,52048181.25,65244609.0,8155576.125,233385450.0,29173181.25
1107,Amanda Detmer,5,149000000.0,29800000.0,348416532,69683306.4,348416532,69683306.4,69521486.0,13904297.2,199416532.0,39883306.4
1109,Amanda Fairbank-Hynes,3,42500000.0,14166666.666666666,125268968,41756322.666666664,125268968,41756322.666666664,7105454.0,2368484.6666666665,82768968.0,27589656.0
1123,Amanda Peet,17,799300000.0,47017647.058823526,2128844145,125226126.1764706,2128844145,125226126.1764706,53812792.0,3165458.3529411764,1329544145.0,78208479.11764705
1125,Amanda Plummer,3,12720200.0,4240066.666666667,9903454,3301151.3333333335,9903454,3301151.3333333335,-12254620.0,-4084873.3333333335,-2816746.0,-938915.3333333334
1130,Amanda Seyfried,17,680000000.0,40000000.0,2488658976,146391704.47058824,2488658976,146391704.47058824,251827722.0,14813395.411764706,1808658976.0,106391704.47058824
1140,Amandla Stenberg,4,107000000.0,26750000.0,209205968,52301492.0,209205968,52301492.0,6202168.0,1550542.0,102205968.0,25551492.0
1149,Amaury Nolasco,10,532500000.0,53250000.0,1582941094,158294109.4,1582941094,158294109.4,173820680.0,17382068.0,1050441094.0,105044109.4
1157,Amber Heard,15,801600000.0,53440000.0,2399627246,159975149.73333332,2399627246,159975149.73333332,123402598.0,8226839.866666666,1598027246.0,106535149.73333333
1162,Amber Rose Revah,3,93100000.0,31033333.333333332,129401979,43133993.0,129401979,43133993.0,-7960997.0,-2653665.6666666665,36301979.0,12100659.666666666
1167,Amber Tamblyn,6,163000000.0,27166666.666666668,471680458,78613409.66666667,471680458,78613409.66666667,106783144.0,17797190.666666668,308680458.0,51446743.0
1168,Amber Valletta,10,470000000.0,47000000.0,1159557515,115955751.5,1159557515,115955751.5,140531387.0,14053138.7,689557515.0,68955751.5
1180,Amelia Warner,3,120500000.0,40166666.666666664,103163519,34387839.666666664,103163519,34387839.666666664,-78765879.0,-26255293.0,-17336481.0,-5778827.0
1183,America Ferrera,7,498500000.0,71214285.71428572,1779721690,254245955.7142857,1779721690,254245955.7142857,181090874.0,25870124.85714286,1281221690.0,183031670.0
1184,America Olivo,3,27900000.0,9300000.0,95189133,31729711.0,95189133,31729711.0,37208018.0,12402672.666666666,67289133.0,22429711.0
1193,Amin Joseph,5,197000000.0,39400000.0,541985863,108397172.6,541985863,108397172.6,37686624.0,7537324.8,344985863.0,68997172.6
1213,Amitabh Bachchan,9,161048589.15539497,17894287.683932774,448298231,49810914.55555555,448298231,49810914.55555555,-2864699.1553949714,-318299.90615499683,287249641.844605,31916626.871622782
1220,Amr Waked,3,210000000.0,70000000.0,774438380,258146126.66666666,774438380,258146126.66666666,1188380.0,396126.6666666667,564438380.0,188146126.66666666
1223,Amrita Acharia,3,123100978.27206261,41033659.42402087,33165159,11055053.0,33165159,11055053.0,-105052454.27206261,-35017484.75735421,-89935819.27206261,-29978606.42402087
