,actor,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit
0,50 Cent,7,227000000.0,32428571.42857143,439019372,62717053.14285714,439019372,62717053.14285714,-33192070.0,-4741724.285714285,212019372.0,30288481.714285713
5,A.C. Peterson,5,208000000.0,41600000.0,204800090,40960018.0,204800090,40960018.0,-114014634.0,-22802926.8,-3199910.0,-639982.0
14,AJ Bowen,5,6750000.0,1350000.0,28202493,5640498.6,28202493,5640498.6,12158196.0,2431639.2,21452493.0,4290498.6
21,Aamir Khan,8,59172832.15727292,7396604.019659115,474140146,59267518.25,474140146,59267518.25,-29904732.15727292,-3738091.519659115,414967313.84272707,51870914.23034088
39,Aaron Eckhart,23,1075950000.0,46780434.782608695,2619989122,113912570.52173913,2619989122,113912570.52173913,220023352.0,9566232.695652174,1544039122.0,67132135.73913044
62,Aaron Paul,8,316500000.0,39562500.0,800616301,100077037.625,800616301,100077037.625,-15980929.0,-1997616.125,484116301.0,60514537.625
71,Aaron Stanford,4,340000000.0,85000000.0,962087847,240521961.75,962087847,240521961.75,164175614.0,41043903.5,622087847.0,155521961.75
76,Aaron Taylor-Johnson,8,602000000.0,75250000.0,2374263594,296782949.25,2374263594,296782949.25,292940164.0,36617520.5,1772263594.0,221532949.25
83,Aaron Yoo,8,173000000.0,21625000.0,541038566,67629820.75,541038566,67629820.75,149197410.0,18649676.25,368038566.0,46004820.75
91,Aasif Mandvi,13,690165000.0,53089615.384615384,1991511087,153193160.53846154,1991511087,153193160.53846154,230917974.0,17762921.076923076,1301346087.0,100103545.15384616
93,Abbey Lee,4,262000000.0,65500000.0,606334982,151583745.5,606334982,151583745.5,-1139717.0,-284929.25,344334982.0,86083745.5
96,Abbie Cornish,11,542500000.0,49318181.81818182,1151835451,104712313.72727273,1151835451,104712313.72727273,-177010429.0,-16091857.181818182,609335451.0,55394131.90909091
102,Abby Ryder Fortson,4,311500000.0,77875000.0,1234152669,308538167.25,1234152669,308538167.25,124509340.0,31127335.0,922652669.0,230663167.25
124,Abhay Deol,3,12666650.818931704,4222216.939643902,10412473,3470824.3333333335,10412473,3470824.3333333335,-8636320.818931704,-2878773.6063105683,-2254177.8189317044,-751392.6063105682
128,Abhishek Bachchan,6,25451363.301400147,4241893.883566692,107056473,17842745.5,107056473,17842745.5,-15747439.301400147,-2624573.2169000246,81605109.69859985,13600851.616433308
133,Abigail Breslin,13,585600000.0,45046153.84615385,1697446768,130572828.3076923,1697446768,130572828.3076923,388098691.0,29853745.46153846,1111846768.0,85526674.46153846
140,Abigail Spencer,5,482800000.0,96560000.0,873863865,174772773.0,873863865,174772773.0,-52587757.0,-10517551.4,391063865.0,78212773.0
144,Abraham Aronofsky,3,78000000.0,26000000.0,390383388,130127796.0,390383388,130127796.0,56898692.0,18966230.666666668,312383388.0,104127796.0
147,Abraham Benrubi,8,553000000.0,69125000.0,1154251861,144281482.625,1154251861,144281482.625,-43833152.0,-5479144.0,601251861.0,75156482.625
161,Adam Arkin,3,131000000.0,43666666.666666664,434130409,144710136.33333334,434130409,144710136.33333334,90548236.0,30182745.333333332,303130409.0,101043469.66666667
167,Adam Beach,4,385700000.0,96425000.0,349338534,87334633.5,349338534,87334633.5,-183855310.0,-45963827.5,-36361466.0,-9090366.5
