,country,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit,code,best_film,poster
0,Afghanistan,1,20000000.0,20000000.0,75011029,75011029.0,75011029,75011029.0,-4199922.0,-4199922.0,55011029.0,55011029.0,AFG,Il cacciatore di aquiloni,https://aforismi.meglio.it/img/film/il-cacciatore-di-aquiloni.jpg
1,Algeria,1,16096450.0,16096450.0,22963701,22963701.0,22963701,22963701.0,-15775750.0,-15775750.0,6867251.0,6867251.0,DZA,Days of Glory,https://cdn.shopify.com/s/files/1/0747/3829/products/HP2565_6434f90b-994d-4c02-96c7-67341b610e81_1024x1024.jpg
2,Angola,1,500000.0,500000.0,101729,101729.0,101729,101729.0,-399630.0,-399630.0,-398271.0,-398271.0,AGO,Rubber,https://i.pinimg.com/736x/56/9a/3c/569a3cb545ee2040e5ff8215e27593c0--tire-movie-movie-tv.jpg
3,Argentina,17,162232387.225188,9543081.60148166,391307270,23018074.7058824,391307270,23018074.7058824,-81594531.2251882,-4799678.30736401,229074882.774812,13474993.1044007,ARG,Focus - Niente è come sembra,http://www.nerdsrevenge.it/wp-content/uploads/2015/03/Focus-Niente-e-come-sembra.jpg
4,Australia,125,7064687229.97303,56517497.8397842,19705530424,157644243.392,19705530424,157644243.392,638510165.026974,5108081.32021579,12640843194.027,101126745.552216,AUS,Aquaman,http://hdqwalls.com/download/aquaman-2018-movie-poster-1z-2160x3840.jpg
5,Austria,13,596860938.231603,45912379.8639695,1897507730,145962133.076923,1897507730,145962133.076923,-145589919.231603,-11199224.5562772,1300646791.7684,100049753.212954,AUT,Spectre,https://fr.web.img5.acsta.net/pictures/15/10/06/15/23/066601.jpg
6,Bahamas,1,150000000.0,150000000.0,616501619,616501619.0,616501619,616501619.0,17445960.0,17445960.0,466501619.0,466501619.0,BHS,Casino Royale,https://picfiles.alphacoders.com/349/349733.jpg
7,Bahrain,1,14700000.0,14700000.0,14603177,14603177.0,14603177,14603177.0,-13111985.0,-13111985.0,-96823.0,-96823.0,BHR,"New York, I Love You",http://images2.fanpop.com/images/photos/8200000/Official-Poster-new-york-i-love-you-8236556-1728-2560.jpg
8,Belgium,66,1333042784.3632,20197617.944897,2560758558,38799372.0909091,2560758558,38799372.0909091,-738818766.3632,-11194223.7327758,1227715773.6368,18601754.1460121,BEL,I Puffi,http://aforismi.meglio.it/img/film/I_puffi.jpg
9,Bosnia and Herzegovina,2,27220200.0,13610100.0,12532902,6266451.0,12532902,6266451.0,-25238178.0,-12619089.0,-14687298.0,-7343649.0,BIH,The Hunting Party - I cacciatori,https://m.media-amazon.com/images/I/51ydmeqR93L.jpg
