,country,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit
41,Italy,100,3303626216.143937,33036262.16143937,6695533666,66955336.66,6695533666,66955336.66,-1150413715.143937,-11504137.15143937,3391907449.856063,33919074.49856063
42,Japan,122,6509276489.774062,53354725.3260169,23203751610,190194685.32786885,23203751610,190194685.32786885,1027744466.2259378,8424134.969065065,16694475120.225937,136839960.00185195
43,Jordan,2,111500000.0,55750000.0,630416573,315208286.5,630416573,315208286.5,117188346.0,58594173.0,518916573.0,259458286.5
44,Kazakhstan,1,18000000.0,18000000.0,26527510,26527510.0,26527510,26527510.0,-12294239.0,-12294239.0,8527510.0,8527510.0
45,Kenya,2,45000000.0,22500000.0,85863015,42931507.5,85863015,42931507.5,-8697994.0,-4348997.0,40863015.0,20431507.5
46,Latvia,1,9500000.0,9500000.0,14776760,14776760.0,14776760,14776760.0,-2492851.0,-2492851.0,5276760.0,5276760.0
47,Lebanon,4,15143130.0,3785782.5,89774363,22443590.75,89774363,22443590.75,-10893152.0,-2723288.0,74631233.0,18657808.25
48,Liechtenstein,1,13000000.0,13000000.0,17471727,17471727.0,17471727,17471727.0,-8100722.0,-8100722.0,4471727.0,4471727.0
49,Lithuania,1,15000000.0,15000000.0,5926410,5926410.0,5926410,5926410.0,-12793595.0,-12793595.0,-9073590.0,-9073590.0
50,Luxembourg,19,346272831.36319983,18224885.861221045,287645582,15139241.157894736,287645582,15139241.157894736,-237557041.36319983,-12503002.177010518,-58627249.36319983,-3085644.703326307
51,Malaysia,1,6000000.0,6000000.0,1023510,1023510.0,1023510,1023510.0,-5234439.0,-5234439.0,-4976490.0,-4976490.0
52,Malta,9,903000000.0,100333333.33333333,2968477155,329830795.0,2968477155,329830795.0,49465125.0,5496125.0,2065477155.0,229497461.66666666
53,Mexico,58,2080609558.7679908,35872578.599448115,5869260115,101194139.9137931,5869260115,101194139.9137931,364287049.2320092,6280811.193655331,3788650556.232009,65321561.31434498
54,Monaco,3,37988170.0,12662723.333333334,141871405,47290468.333333336,141871405,47290468.333333336,-19975083.0,-6658361.0,103883235.0,34627745.0
55,Morocco,12,1012596450.0,84383037.5,2780731058,231727588.16666666,2780731058,231727588.16666666,-184057930.0,-15338160.833333334,1768134608.0,147344550.66666666
56,Netherlands,25,526523110.0,21060924.4,1277409362,51096374.48,1277409362,51096374.48,-80980756.0,-3239230.24,750886252.0,30035450.08
57,New Zealand,30,2472347931.778929,82411597.72596431,9483352031,316111734.3666667,9483352031,316111734.3666667,697233325.2210708,23241110.84070236,7011004099.221071,233700136.64070237
58,Norway,25,636202406.7357571,25448096.269430283,1628579234,65143169.36,1628579234,65143169.36,-128883267.73575711,-5155330.709430285,992376827.2642429,39695073.09056971
59,Palestine,2,4100000.0,2050000.0,4194346,2097173.0,4194346,2097173.0,-2286157.0,-1143078.5,94346.0,47173.0
60,Panama,2,37000000.0,18500000.0,11738884,5869442.0,11738884,5869442.0,-32091416.0,-16045708.0,-25261116.0,-12630558.0
61,Philippines,1,50000000.0,50000000.0,69865924,69865924.0,69865924,69865924.0,8360760.0,8360760.0,19865924.0,19865924.0
62,Poland,14,382465324.7186678,27318951.76561913,733495972,52392569.428571425,733495972,52392569.428571425,-173684555.7186678,-12406039.694190558,351030647.2813322,25073617.6629523
63,Portugal,5,101810280.0,20362056.0,56304946,11260989.2,56304946,11260989.2,-77876226.0,-15575245.2,-45505334.0,-9101066.8
64,Puerto Rico,1,30000000.0,30000000.0,9330075,9330075.0,9330075,9330075.0,-25953571.0,-25953571.0,-20669925.0,-20669925.0
65,Qatar,4,23143130.0,5785782.5,131137972,32784493.0,131137972,32784493.0,9909966.0,2477491.5,107994842.0,26998710.5
66,Romania,20,514927479.0,25746373.95,898504085,44925204.25,898504085,44925204.25,-99908387.0,-4995419.35,383576606.0,19178830.3
67,Russia,20,410612617.302973,20530630.86514865,844423948,42221197.4,844423948,42221197.4,-181336587.30297297,-9066829.365148649,433811330.697027,21690566.53485135
68,Saudi Arabia,2,35000000.0,17500000.0,5762446,2881223.0,5762446,2881223.0,-34957867.0,-17478933.5,-29237554.0,-14618777.0
69,Serbia,3,67500000.0,22500000.0,174501672,58167224.0,174501672,58167224.0,18220464.0,6073488.0,107001672.0,35667224.0
70,Singapore,5,309619635.02262443,61923927.00452489,406582508,81316501.6,406582508,81316501.6,-234881005.02262443,-46976201.00452489,96962872.97737557,19392574.595475115
71,Slovakia,1,35000000.0,35000000.0,25303038,25303038.0,25303038,25303038.0,-29066506.0,-29066506.0,-9696962.0,-9696962.0
72,Slovenia,2,227220200.0,113610100.0,424524437,212262218.5,424524437,212262218.5,-84586557.0,-42293278.5,197304237.0,98652118.5
73,South Africa,22,1018041268.7679908,46274603.12581777,3585726825,162987582.95454547,3585726825,162987582.95454547,298561236.2320092,13570965.283273144,2567685556.232009,116712979.82872768
74,South Korea,29,675320787.2791075,23286923.69927957,2171242886,74870444.34482759,2171242886,74870444.34482759,-86859147.27910745,-2995143.009624395,1495922098.7208924,51583520.645548016
75,Spain,102,3513144811.525433,34442596.191425815,7898715432,77438386.58823529,7898715432,77438386.58823529,-1023387104.5254331,-10033206.907112088,4385570620.474567,42995790.39680948
76,Sweden,46,598977515.5836626,13021250.338775275,1347252581,29288099.586956523,1347252581,29288099.586956523,-197822641.58366263,-4300492.208340492,748275065.4163374,16266849.248181248
77,Switzerland,26,677256230.0,26048316.53846154,1007103110,38734735.0,1007103110,38734735.0,-213453796.0,-8209761.384615385,329846880.0,12686418.461538462
78,Taiwan,12,673095553.2008579,56091296.10007149,2414575595,201214632.91666666,2414575595,201214632.91666666,36467289.79914212,3038940.8165951767,1741480041.7991421,145123336.81659517
79,Thailand,12,639437522.6897131,53286460.22414276,1486274390,123856199.16666667,1486274390,123856199.16666667,-158090546.68971312,-13174212.22414276,846836867.3102869,70569738.94252391
80,Tunisia,2,44657870.0,22328935.0,28429954,14214977.0,28429954,14214977.0,-38466270.0,-19233135.0,-16227916.0,-8113958.0
81,Turkey,6,321443148.0,53573858.0,1544164539,257360756.5,1544164539,257360756.5,134169226.0,22361537.666666668,1222721391.0,203786898.5
82,UK,731,33663020301.305336,46050643.367038764,96723151064,132316212.125855,96723151064,132316212.125855,245102046.694664,335296.9175029603,63060130762.694664,86265568.75881623
83,USA,3150,145705120515.77545,46255593.81453189,437428911220,138866321.02222222,437428911220,138866321.02222222,42559189037.22455,13510853.662610969,291723790704.22455,92610727.20769033
84,Ukraine,1,30000000.0,30000000.0,108979549,108979549.0,108979549,108979549.0,1715062.0,1715062.0,78979549.0,78979549.0
85,United Arab Emirates,28,1625700000.0,58060714.28571428,4843282289,172974367.4642857,4843282289,172974367.4642857,55755544.0,1991269.4285714286,3217582289.0,114913653.17857143
86,Venezuela,1,1400000.0,1400000.0,3217176,3217176.0,3217176,3217176.0,-70751.0,-70751.0,1817176.0,1817176.0
87,Vietnam,1,30000000.0,30000000.0,27674124,27674124.0,27674124,27674124.0,-17011199.0,-17011199.0,-2325876.0,-2325876.0
