names,num
Samuel L. Jackson,57
Morgan Freeman,45
Bruce Willis,42
Scarlett Johansson,41
Willem Dafoe,40
Nicolas Cage,40
J.K. Simmons,40
Robert De Niro,38
Ewan McGregor,37
Woody Harrelson,37
