,genre,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit,best_film,poster
0,Action,1052,72294870981.7928,68721360.24885250,209480432812,199125886.70342200,209480432812,199125886.70342200,8510989509.207200,8090294.210273000,137185561830.2070,130404526.45457000,Avengers: Endgame,https://cdn.shopify.com/s/files/1/1057/4964/products/avengers-endgame-vintage-movie-poster-original-1-sheet-27x41.jpg
1,Adventure,782,71629812493.40520,91598225.6948915,240432699372,307458694.8491050,240432699372,307458694.8491050,16821699675.594800,21511124.904852700,168802886878.59500,215860469.15421300,Avengers: Endgame,https://cdn.shopify.com/s/files/1/1057/4964/products/avengers-endgame-vintage-movie-poster-original-1-sheet-27x41.jpg
2,Animation,228,19269179760.523000,84513946.31808320,70516176338,309281475.1666670,70516176338,309281475.1666670,7340646944.477030,32195819.93191680,51246996577.47700,224767528.84858300,The Lion King,http://image.tmdb.org/t/p/original/xmdlYgWRFKaEHUMyPV6U7p5dInS.jpg
3,Biography,303,8006258453.914930,26423295.227442000,20750333642,68482949.31353140,20750333642,68482949.31353140,1728506539.0850800,5704642.043185070,12744075188.085100,42059654.08608940,Bohemian Rhapsody,https://assets.smoothradio.com/2018/19/bohemian-rhapsody-poster-1526389920.jpg
4,Comedy,1395,52220238024.518100,37433862.3831671,155103005998,111184950.53620100,155103005998,111184950.53620100,20433922123.481900,14647972.848374100,102882767973.4820,73751088.15303360,Frozen II ,http://image.tmdb.org/t/p/original/lLieiMb0bQ0Ys2Vwkc2vHrXTY5d.jpg
5,Crime,684,20854513849.89790,30489055.33610810,46151947427,67473607.3494152,46151947427,67473607.3494152,1491699083.102090,2180846.612722350,25297433577.10210,36984552.01330720,Fast & Furious 8,https://gfx.videobuster.de/archive/v/cdsYRfGf0G-Rcjswjm-4Uhgcz0lMkawsCUyRqclMkZpbWGZJTJGanBlZyUyRmb8tqpmZvRmYmNlYmNm-7c5ZWVj8Lg0ZC5qcGcmcj137zg/go-fast-poster.jpg
6,Drama,1936,53023051719.3354,27387939.937673200,138467806142,71522627.13946280,138467806142,71522627.13946280,8586289056.664600,4435066.661500310,85444754422.6646,44134687.201789600,Avengers: Endgame,https://cdn.shopify.com/s/files/1/1057/4964/products/avengers-endgame-vintage-movie-poster-original-1-sheet-27x41.jpg
7,Family,227,15153766440.578900,66756680.354973000,46611967857,205339065.4493390,46611967857,205339065.4493390,4474092595.4211200,19709659.01066570,31458201416.421100,138582385.0943660,La bella e la bestia,https://www.elettrostar.com/wp-content/uploads/2017/06/La-Bella-e-la-Bestia-2017.jpg
8,Fantasy,329,21514548617.802900,65393764.79575340,66551536395,202284305.1519760,66551536395,202284305.1519760,3516603458.197120,10688764.310629500,45036987777.19710,136890540.35622200,Avatar,https://image.tmdb.org/t/p/original/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg
9,History,126,4403455082.108170,34948056.207207700,9392674795,74545038.05555560,9392674795,74545038.05555560,-271594923.10816600,-2155515.2627632200,4989219712.891830,39596981.84834790,Dunkirk,https://cdn.traileraddict.com/content/warner-bros-pictures/dunkirk-poster-7.jpg
